"This product is amazing!","pos"
"I hate this service","neg"
"Great quality and fast delivery","pos"
"Terrible experience, would not recommend","neg"
"Excellent customer support","pos"
"Worst purchase ever","neg"
"Love the design and features","pos"
"Disappointed with the quality","neg"
"Fantastic value for money","pos"
"Poor customer service","neg"
"Highly recommended product","pos"
"Complete waste of money","neg"
"Outstanding quality and design","pos"
"Would not buy again","neg"
"Perfect for my needs","pos"
"Terrible build quality","neg"
"Amazing customer experience","pos"
"Regret this purchase","neg"
"Best product I've bought","pos"
"Very disappointed","neg"
